,title,runtime,mpaa_rating,theatrical_release,director,actor,plot
763,The Darjeeling Limited,91,R,2007-10-26,Wes Anderson,"Owen Wilson, Adrien Brody, Jason Schwartzman, Amara Karan, Wallace Wolodarsky","A year after their father's funeral, three brothers travel across India by train in an attempt to bond with each other."
764,The Diving Bell and the Butterfly,112,PG-13,2007-11-30,Julian Schnabel,"Mathieu Amalric, Emmanuelle Seigner, Anne Consigny, Max von Sydow, Marie-Josee Croze",The true story of Elle editor Jean-Dominique Bauby who suffers a stroke and has to live with an almost totally paralyzed body; only his left eye isn't paralyzed.
765,The Ex,84,PG-13,2007-05-11,Jesse Peretz,"Amanda Peet, Jason Bateman, Charles Grodin, Mia Farrow, Zach Braff","In Manhattan, Sofia's an attorney and Tom's a cook who has a hard time holding a job. When their first child is born, they agree that she'll be a full-time mom and he'll get a promotion. When he gets fired, he takes a job in Ohio working at the ad agency where her father is assistant director. Tom's assigned to report to Chip, a competitive, hard-driving guy who's in a wheelchair and who's Sofia's ex-boyfriend - from high school. Chip still carries a torch for her, so he connives to make Tom's work life miserable. As Tom's frustrations mount, it may be that Sofia will take Chip's side. Is Tom doomed to fail yet again?"
766,The Final Season,119,PG,2007-10-12,David M. Evans,"Sean Astin, Powers Boothe, Rachael Leigh Cook, James Gammon, Larry Miller","True story of Kent Stock, who in the early 90's, gives up a job to take over as head coach as the Norway High School baseball team. Kent must win over his players and convince them and himself that he can fill their former coach's shoes and that they can go out winners. In the summer of 1991 Norway High's baseball tradition ended on a triumphant but sombre note."
767,The Game Plan,110,PG,2007-09-28,Andy Fickman,"Dwayne Johnson, Madison Pettis, Kyra Sedgwick, Roselyn Sanchez, Morris Chestnut","Joe Kingman is a huge football star. He's got women, money, and a good career. Everything is perfect for him. Then one day an 8 year old girl shows up at his door telling him that she's his daughter from a past relationship. Once he has proof that she is for a fact his, he tries but fails miserably at ""parenting."" From problems such as his super speedy car with no backseat, to leaving her in a bar at 3 am, he's got a lot to deal with. Eventually though, she gets him, (and his football team) wrapped around her finger. When she has a near-death experience and Joe finds out her mother died early that year, he wants her to move and live with him. Her aunt though disagrees and takes her home. Joe has to play the game of his life and when he's injured, and things don't look good for him, his daughter comes out and gets him right back on the field."
768,The Golden Compass,113,PG-13,2007-12-07,Chris Weitz,"Nicole Kidman, Daniel Craig, Dakota Blue Richards, Sam Elliott, Ben Walker","It was no ordinary life for a young girl: living among scholars in the hallowed halls of Jordan College and tearing unsupervised through Oxford's motley streets on mad quests for adventure. But Lyra's greatest adventure would begin closer to home, the day she heard hushed talk of an extraordinary particle. Microscopic in size, the magical dust--discovered in the vast Arctic expanse of the North--was rumored to possess profound properties that could unite whole universes. But there were those who feared the particle and would stop at nothing to destroy it. Catapulted into the heart of a terrible struggle, Lyra was forced to seek aid from clans, 'gyptians, and formidable armored bears. And as she journeyed into unbelievable danger, she had not the faintest clue that she alone was destined to win, or to lose, this more-than-mortal battle..."
769,The Heartbreak Kid,115,R,2007-10-05,"Peter Farrelly, Bobby Farrelly","Ben Stiller, Michelle Monaghan, Jerry Stiller, Malin Akerman, Carlos Mencia","Eddie is forty, owns a sporting-goods store, and is still single. After watching his ex-fiancée walk down the aisle, he meets Lila, an environmental researcher, who seems too good to be true. Pressured by his father and best friend, Eddie pops the question and marries Lila after only 6 weeks. However, as he almost instantly discovers, his new bride is a nightmare with more baggage than he can handle. She's immature, foolish, a monster in bed, owes a tremendous amount of money to various sources, and as it turns out, is only a volunteer and doesn't actually have a job. While on their honeymoon in Cabo, Eddie meets Miranda, a down-to-earth lacrosse coach who is visiting with her family. Sparks fly, and Eddie falls for her. Now comes the tricky part of breaking off his marriage to crazy Lila, all while keeping the truth from Miranda about why he's in Cabo in the first place..."
770,The Hills Have Eyes 2,90,R,2007-03-23,Martin Weisz,"Michael McMillian, Jessica Stroup, Jacob Vargas, Flex Alexander, Reshad Strik","A team of trainees of the National Guard brings supply to the New Mexico Desert for a group of soldiers and scientists that are installing a monitoring system in Sector 16. They do not find anybody in the camp, and they receive a blurred distress signal from the hills. Their sergeant gathers a rescue team, and they are attacked and trapped by deformed cannibals, having to fight to survive."
771,The Hitcher,84,R,2007-01-19,Dave Meyers,"Sean Bean, Sophia Bush, Zachary Knighton, Neal McDonough, Danny Bolero","While driving through the New Mexico Desert during a rainy night, the college students Jim Halsey and his girlfriend Grace Andrews give a ride to the hitchhiker John Ryder. While in their car, the stranger proves to be a psychopath threatening the young couple with a knife, but Jim succeeds to throw him out of the car on the road. On the next morning, the young couple sees John in another car with a family, and while trying to advise the driver that the man is dangerous, they have an accident. While walking on the road, they find the whole family stabbed in the car, and John sees that the driver is still alive. He drives to a restaurant seeking for help, but the police blame Jim and Grace to the murder and send them to the police station. However, John kills the policemen and pursues the couple, playing a tragic and violent mouse and cat game with Grace and Jim."
772,The Hoax,115,R,2007-04-06,Lasse Hallstrom,"Richard Gere, Alfred Molina, Marcia Gay Harden, Julie Delpy, Hope Davis","In what would cause a fantastic media frenzy, Clifford Irving sells his bogus biography of Howard Hughes to a premiere publishing house in the early 1970s."
773,The Hunting Party,104,R,2007-09-14,Richard Shepard,"Richard Gere, Terrence Howard, Jesse Eisenberg, James Brolin, Ljubomir Kerekes","A young journalist, a seasoned cameraman and a discredited war correspondent embark on an unauthorized mission to find the no. 1 war criminal in Bosnia; they find themselves in serious jeopardy when they are mistaken as a CIA hit squad and their target decides to come after them."
774,The Invasion,99,PG-13,2007-08-17,Oliver Hirschbiegel,"Nicole Kidman, Daniel Craig, Jeremy Northam, Jeffrey Wright, Jackson Bond","As a Washington psychiatrist unearths the origin of an alien epidemic, she also discovers her son might be the only way it can be stopped."
775,The Invisible,101,PG-13,2007-04-27,David S. Goyer,"Justin Chatwin, Margarita Levieva, Marcia Gay Harden, Alex O'Loughlin, Callum Keith Rennie","Nick Powell is an excellent high-school student who raises money by selling homework and results of quizzes to his schoolmates. He aims to travel to London for a writer's course - telling his best friend, Pete Egan, that he has already bought the airplane ticket but he has not told to his mother yet. Annie Newton has a problem with Pete, who owes money to her. As events unfold, due to a case of mistaken identity Nick takes a severe beating from Annie and her gang, his body dumped in a sewer. The next morning, he discovers he cannot be seen - he is now a spirit in a state of limbo and can only observe as the events of that day unfold."
776,The Jane Austen Book Club,106,PG-13,2007-10-05,Robin Swicord,"Kathy Baker, Maria Bello, Emily Blunt, Amy Brenneman, Hugh Dancy","Six Californians start a club to discuss the works of Jane Austen, only to find their relationships -- both old and new -- begin to resemble 21st century versions of her novels."
777,The Kingdom,110,R,2007-09-28,Peter Berg,"Jamie Foxx, Chris Cooper, Jennifer Garner, Jason Bateman, Ashraf Barhom","After a terrorist attack on an American housing compound in Riyadh, Saudi Arabia, where families and FBI Agent Francis Manner are murdered, FBI agent Ronald Fleury blackmails the Saudi Arabian consul to get five days of investigation in the location. He travels with agent Grant Sykes, Janet Mayes and Adam Leavitt to avenge their friend and try to find those responsible for the bombing. The agents find all sorts of difficulties in their investigation, but they are supported by Colonel Faris Al Ghazi that advises the team how to act in a hostile environment."
778,The Kite Runner,127,PG-13,2007-12-14,"Marc Forster, Rebecca Yeldham","Shaun Toub, Atossa Leoni, Homayon Ershadi, Ahmad Khan Mahmoodzada, Khalid Abdalla","In the 70's in Afghanistan, the Pushtun boy Amir and the Hazara boy Hassan, who is his loyal friend and son of their Hazara servant Ali, are raised together in Amir's father house, playing and kitting on the streets of a peaceful Kabul. Amir feels that his wise and good father Baba blames him for the death of his mother in the delivery, and also that his father loves and prefers Hassan to him. In return, Amir feels a great respect for his father's best friend Rahim Khan, who supports his intention to become a writer. After Amir winning a competition of kitting, Hassan runs to bring a kite to Amir, but he is beaten and raped by the brutal Assef in an empty street to protect Amir's kite; the coward Amir witness the assault but does not help the loyal Hassam. On the day after his birthday party, Amir hides his new watch in Hassam's bed to frame the boy as a thief and force his father to fire Ali, releasing his conscience from recalling his cowardice and betrayal. In 1979, the Russians invade Afghanistan and Baba and Amir escape to Pakistan. In 1988, they have a simple life in Fremont, California, when Amir graduates in a public college for the pride and joy of Baba. Later Amir meets his countrywoman Soraya and they get married. In 2000, after the death of Baba, Amir is a famous novelist and receives a phone call from the terminal Rahim Khan, who discloses secrets about his family, forcing Amir to return to Peshawar, in Pakistan, in a journey of redemption."
779,The Last Legion,101,PG-13,2007-08-17,Doug Lefler,"Colin Firth, Ben Kingsley, Aishwarya Rai Bachchan, Peter Mullan, Kevin Mckidd","Circa 460 A.D. Mira was born in a warrior-family in Kerala, India, was well versed in martial arts and self-defense, so much so that she was recruited by the Spanish royalty and re-located to Constantinople. From there she was instructed to assist Roman Commander Aurelius to plan the escape of 12-year old Romulus Augustus Caesar from a prison in Capri after his parents had been killed by the leader of the Alliance in turmoil-stricken Rome that has seen the deaths of five emperors in five years. Mira, Aurelius, and a Priest, Ambrosinius, along with a handful of loyal soldiers were successful in the escape plan and deliver Romulus to Roman Senator Nestor. What the crew do not realize is that their task is not over yet, for Nestor is all set to betray Romulus, leaving them with no alternative but to flee to Britannia, where they will be forced to confront a seemingly invincible Vortygn, whose main aim is to obtain a powerful sword that was meant for defense and defeat, and also ensure the death of Romulus at any and all costs."
780,The Last Mimzy,96,PG,2007-03-18,Robert Shaye,"Chris O'Neil, Joely Richardson, Timothy Hutton, Rhiannon Leigh Wryn","Two siblings begin to develop special talents after they find a mysterious box of toys. Soon the kids, their parents, and even their teacher are drawn into a strange new world and find a task ahead of them that is far more important than any of them could imagine!"
781,The Lookout,99,R,2007-03-30,Scott Frank,"Joseph Gordon-Levitt, Jeff Daniels, Matthew Goode, Carla Gugino, Isla Fisher","An admired high school hockey player with a bright future foolishly takes a drive in the night with his girlfriend and two other friends with his headlights off with devastating results. The former athlete is left with a brain injury that prevents him from remembering many things for extended periods of time. To compensate, he keeps notes in a small notebook to aid him in remembering what he is to do. He also lives with a blind friend who aids him. Obviously, with the mental incapacitation, he is unable to have meaningful work. Thus he works as a night cleaning man in a bank. It is there he comes under the scrutiny of a gang planning to rob the bank. The leader befriends him and gets him involved with a young woman who further reels him in. After they get close and after reeling him in with his own failures, the bank plan unfolds. Confused but wanting to escape his current existence, he initially goes along with the scheme. After realizing he is being used, he attempts to stop the robbery, which of course immediately goes awry."
782,The Messengers,90,PG-13,2007-02-07,"Danny Pang, Oxide Pang","Kristen Stewart, Dylan McDermott, John Corbett, Penelope Ann Miller, Evan Turner","It's been six years since the Rollins family just up and left and now the troubled Solomon family has come from Chicago, to rebuild their lives following their sons hospitalization due to their daughter's drunk driving accident. But as they start to settle in something odd and strange begins to occur to their son. Could something supernatural be at work, and did the previous family just leave...or are they still here? Trapped in the only place they've ever known? And what did cause their deaths? Most of all...is this 'killer' still very much alive?"
783,The Mist,125,R,2007-11-21,Frank Darabont,"Thomas Jane, Marcia Gay Harden, Laurie Holden, Andre Braugher, Toby Jones","A freak storm unleashes a species of blood-thirsty creatures on a small town, where a small band of citizens hole up in a supermarket and fight for their lives."
784,The Nanny Diaries,105,PG-13,2007-08-24,"Robert Pulcini, Shari Springer Berman","Scarlett Johansson, Laura Linney, Alicia Keys, Chris Evans, Nicholas Reese Art","After graduating from Montclair State, New Jersey Girl Annie can't make up her mind about what to do with her life. After saving a little boy from being run over in the park, she is quickly employed as a nanny for a rich Upper East Side couple. Mr X is occupied with his business, Mrs X loves shopping, and neither really likes to spend time with their little boy Grayer. Annie quickly learns that she has more than her hands full taking care of him. Her busy schedule doesn't give her much spare time. Mrs X fired her last nanny because she was dating and that gives Annie problems when Harvard Hottie who lives in the same building asks her out on a date."
785,The Number 23,98,R,2007-02-23,Joel Schumacher,"Jim Carrey, Virginia Madsen, John Fink, Danny Huston, Mark Pellegrino","Walter Sparrow becomes obsessed with a novel that he believes was written about him. As his obsession increases, more and more similarities seem to arise."
786,The Orphanage,105,R,2007-12-28,Juan Antonio Bayona,"Belen Rueda, Fernando Cayo, Roger Princep, Mabel Rivera, Roger Princep","Laura, a former orphan, raises her adopted son Simón together with her husband Carlos in an old house and former orphanage where she was raised. While at the orphanage Simón tells Laura that he has five invisible friends which she believes are a product of his active imagination. Laura decides to reopen the orphanage to cater for disabled children and throws a party. During the party Simón tries to persuade Laura to go and take a look at his friends cabin but she's too busy. Later on she sees a mysterious masked boy and realizes that Simón has also disappeared. Laura feels the presence of other people in the house and months later Laura invites a team of parapsychologists to try to unravel the mystery."
787,The Perfect Holiday,96,PG-13,2007-12-12,Lance Rivera,"Terrence Howard, Queen Latifah, Gabrielle Union, Faizon Love, Morris Chestnut",A young girl turns to a department store Santa in the hopes that he will help find a new husband for her divorced mother.
788,The Reaping,99,R,2007-04-05,Stephen Hopkins,"Hilary Swank, David Morrissey, Idris Elba, Annasophia Robb, Stephen Rea","A former Christian missionary, who specializes in debunking religious phenomena, investigates a small town which seems to be suffering from the 10 biblical plagues."
789,The Savages,114,R,2007-11-28,Tamara Jenkins,"Laura Linney, Philip Seymour Hoffman, Philip Bosco, Gbenga Akinnagbe, Cara Seymour","Jon and Wendy Savage are two siblings who have spent their adult years trying to recover from the abuse of their abusive father, Lenny Savage. Suddenly, a call comes in that his girlfriend has died, he cannot care for himself with his dementia and her family is dumping him on his children. Despite the fact Jon and Wendy have not spoken to Lenny for twenty years and he is even more loathsome than ever, the Savage siblings feel obliged to take care of him. Now together, brother and sister must come to terms with the new and painful responsibilities with their father now affecting their lives even as they struggle with their own personal demons Lenny helped create."
790,The Seeker: The Dark Is Rising,98,PG,2007-10-05,David L. Cunningham,"Alexander Ludwig, Christopher Eccleston, Frances Conroy, Ian McShane, Wendy Crewson","The film tells the story of Will Stanton, a young man who learns he is the last of a group of warriors who have dedicated their lives to fighting the forces of the Dark. Traveling back and forth through time, Will discovers a series of clues which lead him into a showdown with forces of unimaginable power. With the Dark once again rising, the future of the world rests in Will's hands."
791,The Simpsons Movie,86,PG-13,2007-07-27,David Silverman,"Julie Kavner, Dan Castellaneta, Nancy Cartwright, Yeardley Smith, Harry Shearer","Homer adopts a pig who's run away from Krusty Burger after Krusty tried to have him slaughtered, naming the pig ""Spider Pig."" At the same time, the lake is protected after the audience sink the barge Green Day are on with garbage after they mention the environment. Meanwhile, Spider Pig's waste has filled up a silo in just 2 days, apparently with Homer's help. Homer can't get to the dump quickly so dumps the silo in the lake, polluting it. Russ Cargill, the villainous boss of the EPA, gives Arnold Schwarzenegger 5 options, forcing him to choose 4 (which is, unfortunately, to destroy Springfield) and putting a dome over Springfield to prevent evacuation. Homer, however, has escaped, along with his family. Can he stop the evil Cargill from annihilating his home town, and his family, who have been forced to return to Springfield?"
792,The Ten Commandments,88,PG,2007-10-19,"Bill Boyce, John Stronach","Christian Slater, Alfred Molina, Ben Kingsley, Elliott Gould, Christopher Gaze","To escape the edict of Egypt's Pharoah, Rameses I, condemning all newborn Hebrew males, the infant Moses is set adrift on the Nile in a reed basket. Saved by the pharaoh's daughter Bithiah, he is adopted by her and brought up in the court of her brother, Pharaoh Seti. Moses gains Seti's favor and the love of the throne princess Nefertiri, as well as the hatred of Seti's son, Rameses. When his Hebrew heritage is revealed, Moses is cast out of Egypt, and makes his way across the desert where he marries, has a son and is commanded by God to return to Egypt to free the Hebrews from slavery. In Egypt, Moses' fiercest enemy proves to be not Rameses, but someone near to him who can 'harden his heart'."
793,The Ultimate Gift,117,PG,2006-10-20,Michael O. Sajbel,"Abigail Breslin, Drew Fuller, James Garner, Bill Cobbs, Ali Hillis","Jason thought his inheritance was going to be the gift of money and lots of it. Was he ever in for a big surprise. Based on the best-selling book ""The Ultimate Gift"" by Jim Stovall, the story sends trust fund baby Jason Stevens on an improbable journey of discovery, having to answer the ultimate question: ""What is the relationship between wealth and happiness?"" Jason had a very simple relationship with his impossibly wealthy Grandfather, Howard ""Red"" Stevens. He hated him. No heart-to-heart talks, no warm fuzzies, just cold hard cash. So of course he figured that when Red died, the whole ""reading of the will"" thing would be another simple cash transaction, that his Grandfather's money would allow him to continue living in the lifestyle to which he had become accustomed. But what Red left him was anything but simple. Red instead devised a plan for Jason to experience a crash course on life. Twelve tasks, which Red calls ""gifts,"" each challenging Jason in an improbable way, the accumulation of which would change him forever."
794,The Water Horse: Legend of the Deep,112,PG,2007-12-25,Jay Russell,"Emily Watson, Alex Etel, Ben Chaplin, David Morrissey, Priyanka Xi",A boy finds an interesting egg. His curiosity leads him to protect it and want to figure out what will come out of it. He didn't realize that it would turn into something magical. The boy and the Water horse grow a strong relationship together in this wonderful story.
795,There Will Be Blood,158,R,2007-12-26,Paul Thomas Anderson,"Daniel Day-Lewis, Paul Dano, Kevin J. O'Connor, Ciaran Hinds, David Willis","The intersecting life stories of Daniel Plainview and Eli Sunday in early twentieth century California presents miner-turned-oilman Daniel Plainview, a driven man who will do whatever it takes to achieve his goals. He works hard but also takes advantage of those around him at their expense if need be. His business partner/son (H.W.) is, in reality, an ""acquired"" child whose true biological single-parent father (working on one of Daniel's rigs) died in a workplace accident. Daniel is deeply protective of H.W. if only for what H.W. brings to the partnership. Eli Sunday is one in a pair of twins whose family farm Daniel purchases for the major oil deposit located on it. Eli, a local preacher and a self-proclaimed faith healer, wants the money from the sale of the property to finance his own church. The lives of the two competitive men often clash as Daniel pumps oil off the property and tries to acquire all the surrounding land at bargain prices to be able to build a pipeline to the coast, and as Eli tries to build his own religious empire."
796,Things We Lost in the Fire,118,R,2007-10-19,Susanne Bier,"Halle Berry, David Duchovny, Alexis Llewellyn, John Carroll Lynch, Benicio Del Toro","Grief, recovery, and human contact. Brian is a great guy - a sweet father, a good husband, and a loyal friend to his boyhood pal Jerry who's a junkie. When tragedy strikes, Jerry tries to help Brian's wife and children cope, and Audrey, Brian's widow, tries to help Jerry kick the habit. Loss and addiction are stubborn. The story starts on the day of the funeral, with Brian appearing in flashbacks. A neighbor's divorce, a dinner party that includes a young woman from the Narcotics Anonymous group Jerry attends, and thinking back to a fire in Brian and Audrey's garage give the story texture."
797,This Christmas,119,PG-13,2007-11-21,Preston A. Whitmore,"Delroy Lindo, Idris Elba, Loretta Devine, Columbus Short, Chris Brown",A Christmastime drama centered around the Whitfield family's first holiday together in four years.
798,Transformers,143,PG-13,2007-07-03,Michael Bay,"Shia LaBeouf, Megan Fox, Josh Duhamel, Tyrese Gibson, Rachael Taylor","An ancient struggle between two Cybertronian races, the heroic Autobots and the evil Decepticons, comes to Earth, with a clue to the ultimate power held by a teenager."
799,Underdog,80,PG,2007-08-03,Frederik Du Chau,"Peter Dinklage, Patrick Warburton, Alex Neuberger, James Belushi, Taylor Momsen","A bomb-sniffing beagle is fired from the mayor's office for a faux pas. That night a mad scientist dognaps him and injects him with an elixir. The dog escapes, but now has superpowers. He's adopted by a security guard - an ex-cop, who's a widower with a moody teen son, Jack. The boy discovers that the dog, named Shoeshine by dad, has super powers, but it's their little secret. While Underdog saves people in distress, the mad scientist and his underling continue their plot to catch him and take over the city. There's also a girl Jack likes who has a dog that Shoeshine takes a shine to. Will every dog have his day?"
800,Vacancy,85,R,2007-04-20,Nimrod Antal,"Luke Wilson, Kate Beckinsale, Frank Whaley, Ethan Embry, Mark Casella","David and Amy Fox find themselves stranded in the middle of nowhere when their car breaks down. Luckily, they come across a motel with a TV to entertain them during their overnight stay. However, there's something very strange and familiar about the Grade-Z slasher movies that the motel broadcasts for its guests' enjoyment. They all appear to be filmed in the very same room they occupy! Realizing that they are trapped in their room with hidden cameras now aimed at them filming their every move, David and Amy desperately find a means of escape through locked doors, crawlspaces and underground tunnels before they too become the newest stars of the mystery filmmaker's next cult classic!"
801,Waitress,107,PG-13,2007-05-02,Adrienne Shelly,"Keri Russell, Nathan Fillion, Cheryl Hines, Adrienne Shelly, Andy Griffith","Jenna is unhappily married, squirreling away money, and hoping to win a pie-baking contest so, with the prize money, she'll have enough cash to leave her husband Earl. She finds herself pregnant, which throws her plans awry. She bakes phenomenal pies at Joe's diner, listens to old Joe's wisdom, tolerates her sour boss Cal, is friends with Dawn and Becky (her fellow waitresses), and finds a mutual attraction with the new doctor in town. As the pregnancy advances, life with Earl seems less tolerable, a way out less clear, and the affair with the doctor complicated by his marriage. What options does a waitress have?"
802,Walk Hard: The Dewey Cox Story,96,R,2007-12-21,Jake Kasdan,"John C. Reilly, Jenna Fischer, Raymond J. Barry, Margo Martindale, Kristen Wiig",Singer Dewey Cox overcomes adversity to become a musical legend.
803,War (Rogue Assassin),102,R,2007-08-24,Philip G. Atwell,"Jet Li, Jason Statham, Luis Guzman, Devon Aoki, John Lone","After his partner Tom Lone and family are killed apparently by the infamous and elusive assassin Rogue, FBI agent Jack Crawford becomes obsessed with revenge as his world unravels into a vortex of guilt and betrayal. Rogue eventually resurfaces to settle a score of his own, setting off a bloody crime war between Asian mob rivals Chang of the Triad's and Yakuza boss Shiro. When Jack and Rogue finally come face to face, the ultimate truth of their pasts will be revealed."
804,War Dance,105,PG-13,2007-11-09,"Andrea Nix Fine, Sean Fine",,Three children living in a displacement camp in northern Uganda compete in their country's national music and dance festival.
805,We Own the Night,117,R,2007-10-12,James Gray,"Joaquin Phoenix, Mark Wahlberg, Eva Mendes, Robert Duvall, Antoni Corone",A New York nightclub manager tries to save his brother and father from Russian mafia hit men.
806,Who's Your Caddy?,92,PG-13,2007-07-27,Don Michael Paul,"Andy Milonakis, Faizon Love, Tony Cox, Antwan 'Big Boi' Patton, Antwan 'Big Boi' Patton",When a rap mogul from Atlanta tries to join a conservative country club in the Carolinas he runs into fierce opposition from the board President- but it's nothing that he and his entourage can't handle.
807,Why Did I Get Married?,118,PG-13,2007-10-12,Tyler Perry,"Tyler Perry, Janet Jackson, Jill Scott, Malik Yoba, Richard T. Jones","The big screen adaptation of Perry's stage play about the trials of marriage, and what happens to one family when a sexy young temptress arrives on the scene."
808,Wild Hogs,99,PG-13,2007-03-02,Walt Becker,"Tim Allen, John Travolta, Martin Lawrence, William H. Macy, Ray Liotta","Four middle-aged men decide to take a road trip from Cincinnati to the Pacific in order to get away from their lives which are leading them nowhere. Taking their motorcycles, these ""Wild Hogs"" tear up the road and eventually stop in New Mexico for a drink not knowing that the bar belongs to the ""Del Fuegos"", a mean biker gang. When the Del Fuegos steal a bike that belongs to the Wild Hogs, the four men form a plan to steal their bike back."
809,Zodiac,157,R,2007-03-02,David Fincher,"Jake Gyllenhaal, Mark Ruffalo, Robert Downey Jr., Anthony Edwards, Brian Cox",A San Francisco cartoonist becomes an amateur detective obsessed with tracking down the Zodiac killer.
810,"10,000 B.C.",109,PG-13,2008-03-07,Roland Emmerich,"Steven Strait, Camilla Belle, Cliff Curtis, Joel Virgel, Ben Badra","Two prehistoric suitors, one a mailman, compete for the affections of a prehistoric maiden and a dinosaur."
811,21,122,PG-13,2008-03-28,Robert Luketic,"Jim Sturgess, Kate Bosworth, Laurence Fishburne, Kevin Spacey, Aaron Yoo","""21"" is the fact-based story about six MIT students who were trained to become experts in card counting and subsequently took Vegas casinos for millions in winnings."
812,27 Dresses,111,PG-13,2008-01-09,Anne Fletcher,"Katherine Heigl, James Marsden, Malin Akerman, Judy Greer, Edward Burns","After serving as a bridesmaid 27 times, a young woman wrestles with the idea of standing by her sister's side as her sibling marries the man she's secretly in love with."
813,88 Minutes,107,R,2008-04-18,Jon Avnet,"Al Pacino, Alicia Witt, Leelee Sobieski, Amy Brenneman, William Forsythe","On the day that a serial killer that he helped put away is supposed to be executed, a noted forensic psychologist and college professor receives a call informing him that he has 88 minutes left to live."
814,An American Carol,94,PG-13,2008-10-03,David Zucker,"Kevin P. Farley, Kelsey Grammer, Leslie Nielsen, Trace Adkins, Robert Davi","At a July 4 barbecue, gramps tells the kids the story of Michael Malone, a documentary filmmaker and Michael Moore look-alike who hates America and wants to abolish July 4th. He refuses to celebrate with his nephew Josh, who's shipping out soon to the Middle East. That night, Michel has a vision of his hero, JFK, who predicts that three ghosts will visit Michael. Sure enough, General Patton, George Washington, and country music star Trace Adkins visit Michael show him the fruits of patriotism, just wars, and pacifism. Meanwhile, Arab terrorists want Malone to help them with a propaganda film. Is he the next Leni Riefenstahl or will he see the light?"
815,Australia,165,PG-13,2008-11-26,Baz Luhrmann,"Hugh Jackman, Nicole Kidman, Jack Thompson, David Wenham, Bryan Brown","In northern Australia at the beginning of World War II, an English aristocrat inherits a cattle station the size of Maryland. When English cattle barons plot to take her land, she reluctantly joins forces with a rough-hewn stock-man to drive 2,000 head of cattle across hundreds of miles of the country's most unforgiving land, only to still face the bombing of Darwin, Australia, by the Japanese forces that had attacked Pearl Harbor only months earlier."
816,Baby Mama,99,PG-13,2008-04-25,Michael McCullers,"Amy Poehler, Tina Fey, Greg Kinnear, Dax Shepard, Romany Malco","A successful, single businesswoman who dreams of having a baby discovers she is infertile and hires a working class woman to be her unlikely surrogate."
817,Babylon A.D.,90,PG-13,2008-08-20,Mathieu Kassovitz,"Vin Diesel, Michelle Yeoh, Lambert Wilson, Mark Strong",Veteran-turned-mercenary Toorop takes the high-risk job of escorting a woman from Russia to America. Little does he know that she is host to an organism that a cult wants to harvest in order to produce a genetically modified Messiah.
818,Bangkok Dangerous,99,R,2008-08-22,"Oxide Pang, Danny Pang","Nicolas Cage, Charlie Yeung, Shahkrit Yamnarm, James With","Joe is a professional hit man who picks someone off the street to do his errands, and after he is finished kills that person. His next assignment takes him to Bangkok, and as usual, he finds a street-wise guy named Kong to help him. After Kong has a close call and learns who Joe is, Kong asks him to train him and he does. Joe also meets a local girl who is deaf and spends time with her. However, Joe has a hard time keeping his other life from her. It also appears that the person who hired Joe, breaks his rule of complete anonymity and tries to find him."
819,Be Kind Rewind,101,PG-13,2008-02-22,Michel Gondry,"Jack Black, Yasiin Bey, Danny Glover, Mia Farrow, Melonie Diaz","In Passaic, NJ, Elroy Fletcher runs a video store in a condemned building he claims was the birthplace of Fats Waller. Fletcher goes on a Waller centennial trip, leaving his foster son Mike in charge of the store. Mike's peculiar friend Jerry tries to sabotage a power station and nearly electrocutes himself, getting magnetized in the process. He inadvertently erases every tape in the store. Mike and Jerry hatch an plan to hide the disaster by making a homemade ""Ghostbusters"" to rent to a woman whom Fletcher will be phoning to check on them. Soon, with help, their homemade versions of films develop a cult following. Will this new business save the store and the building? What about Fats?"
820,Bedtime Stories,95,PG,2008-12-25,Adam Shankman,"Adam Sandler, Richard Griffiths, Courteney Cox, Guy Pearce, Keri Russell","In 1974, Marty Bronson builds the Sunny Vista Motel in Los Angeles, California, with the intention of raising his son Skeeter and his daughter Wendy in the place where he works. However he is not a good businessman and the hotel goes bankrupt. Marty is forced to sell his motel to Barry Nottingham that promises to hire Skeeter in a general manager position when he grown up. Years later, Barry builds a new hotel; forgets his promise to Marty; and Skeeter Bronson is only the handyman of his hotel. The general manager is the arrogant Kendall, who is engaged with the shallow Barry's daughter Violet Nottingham. When the Webster Elementary School where Wendy is the principal will be closed to be demolished, she needs to travel to Arizona for a job interview. Wendy asks her friend Jill, who is teacher in the same school, to watch her son Patrick and her daughter Bobbi during the day and Skeeter to watch them during the night. Skeeter meets the estranged kids with his best friend Mickey and makes up bedtime stories to help them to sleep but the kids add details to the stories, changing their endings. Soon Skeeter realizes that the plot of the stories are coming true and affecting his life. Meanwhile Barry Nottingham decides to give a change to Skeeter to dispute the manager position in his new hotel with Kendall like in one of his stories. But Skeeter has told to his nephew and his niece that stories do not have happy endings."
